,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1,fMF,nHBAcc,apol,bpol,Vabc,MW,AMW,ABC,ABCGG,nAromAtom,nAromBond,C1SP2,C2SP2,C3SP2,C1SP3,HybRatio,FCSP3
173,4.64,1210.506333,0.033470005,0.180411489,74,521.77,0.370589689,6.261588086,3.407681871,0.189663361,2.127233498,0.449259983,0.0,1.1419,0.5738,12,165.47372,72.34628,967.8776656,1222.07833,10.01703549,67.81996469712671,47.04809323377158,54,56,4,44,10,2,0.09375,0.09375
174,4.62,950.303,0.077824564,0.308577118,62,435.23,0.343358711,6.499351925,3.57040596,0.554295933,2.215311995,0.812259873,0.0002,2.0476,0.617,14,136.578204,59.581796,769.1549539,1039.925617,11.06303848,54.89712412392341,40.51982639601229,52,54,6,32,8,2,0.08,0.08
175,4.61,697.0783333,0.033470005,0.701781646,43,513.89,0.232780618,6.987415617,3.995447809,0.103131153,2.094666631,-0.337693301,4.671306905,1.6524,0.5679,8,107.429825,33.810175,663.8317404,731.1892148,9.027027343,43.94112549695424,31.609454432114788,41,44,0,30,12,0,0.0,0.0
176,4.6,1082.511,0.033470005,0.251705321,63,545.68,0.398018494,6.276722787,3.408498213,0.234834261,2.156145173,0.34612883,0.0181,1.1012,0.596,11,136.085376,59.634624,789.3769131,1000.046853,10.10148336,55.60423090510996,39.11041098026396,43,45,4,38,6,0,0.0769230769230769,0.0769230769230769
177,4.6,1014.739,0.033470005,0.647358873,68,501.86,0.482574611,6.32574029,3.440063421,0.262317761,2.289388294,0.585316913,0.131566181,1.1538,0.5536,10,142.47972,58.23628,864.630899,972.2552458,8.680850409,58.41607900297319,35.66994092334797,46,46,2,42,10,0,0.0689655172413793,0.0666666666666666
178,4.58,1024.085,0.033470005,0.168982707,48,474.26,0.372695578,6.532620294,3.665645811,0.427218761,2.13231213,0.401912172,0.330941279,1.7387,0.5,14,129.225376,62.870624,749.5107141,971.9569175,10.5647491,49.73424745422473,34.00186821518075,32,34,2,24,6,4,0.2272727272727272,0.2272727272727272
179,4.58,564.9516667,0.033470005,1.249002618,41,478.57,0.498340343,6.588910311,3.59788946,0.522730726,2.534943064,0.57660927,0.541150571,1.17,0.5909,5,86.160239,34.859761,504.4563201,593.123169,8.986714681,35.10541631145411,25.373987733515417,29,31,3,24,5,0,0.0588235294117647,0.0555555555555555
180,4.57,862.574,0.033470005,0.421232256,48,525.16,0.506714103,6.412410187,3.512445707,0.830219388,2.23307748,0.341230781,3.388195901,1.1181,0.5747,9,116.45979,49.56021,698.9954944,834.0921458,9.587266044,45.86184794351335,32.68754173031896,37,37,3,33,5,1,0.0681818181818181,0.0666666666666666
181,4.56,1026.000667,0.077824564,0.069389034,54,446.63,0.390609106,6.549614349,3.605780762,0.413613068,2.134968902,0.606269681,1.168800073,1.9434,0.4118,16,137.716548,65.615452,820.9431946,1016.033905,9.961116714,52.254318544893685,37.1387970490402,42,44,2,30,8,4,0.1666666666666666,0.16
182,4.56,1280.443,0.077824564,0.021496995,64,451.96,0.505983205,6.361858506,3.443056673,0.309937687,1.988727916,0.646814646,0.0001,1.919,0.4063,18,171.558064,82.573936,1008.454313,1236.071947,9.656812088,63.762945555723846,44.33731773192898,52,54,2,34,12,8,0.2,0.1935483870967742
183,4.56,1056.332,0.033470005,0.241364994,42,464.52,0.277662262,6.073433325,3.236522253,0.100954242,2.074618744,0.804096457,0.416768077,1.9305,0.5313,16,161.898064,76.389936,924.1933428,1124.251817,8.783217322,64.16414134972491,39.30549586500867,66,70,0,50,8,0,0.09375,0.09375
184,4.54,1047.920333,0.077824564,0.223405479,62,505.51,0.360888286,6.375352905,3.436253827,0.183404742,2.178114622,0.500961617,0.048615841,1.1592,0.5577,12,147.858962,72.501038,856.1442206,1193.867616,11.47949631,57.56379079059008,42.89545713153322,42,44,8,30,8,0,0.1153846153846153,0.1153846153846153
185,4.52,969.237,0.033470005,0.054150658,52,456.7,0.564111624,6.483024278,3.592447182,0.466947384,2.116857508,0.52517975,1.887305895,1.9146,0.4348,14,126.765376,58.130624,760.0717177,932.0127755,10.13057365,47.50677164918726,34.55713881462936,40,40,2,30,6,4,0.1363636363636363,0.1304347826086956
186,4.5,304.1456667,0.033470005,0.725455551,22,429.81,0.257703798,7.080406719,3.988917077,1.513769404,2.786760335,0.548037315,4.730063667,1.7367,0.4054,5,47.400309,19.219691,306.9628272,331.077933,8.948052244,18.42986490843461,16.289247293881356,11,11,1,9,5,0,0.1176470588235294,0.1052631578947368
