name,fMF,nHBAcc,nHBDon,Lipinski,GhoseFilter,apol,bpol,Vabc,MW,AMW
Cc1ccc(s1)-c1ccc(s1)-c1cnc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2c(F)cc(-c3cc4c(s3)-c3sc(cc3[Si]4(C)C)-c3cc(F)c(-c4cc5c(s4)-c4sc(cc4[Si]5(C)C)-c4ncc(-c5ccc(s5)-c5ccc(C)s5)c5nsnc45)c4nsnc34)c3nsnc23)c2nsnc12,0.6312056737588653,24,0,0,0,214.20930600000037,136.52069400000008,1156.4328662244911,1591.8959713740005,11.290042350170216
CN1c2ccc(cc2Sc2cc(ccc12)C([C](c1ccc(cc1)[C](C#N)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)=C(C#N)C#N)C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,0.543859649122807,8,0,0,0,146.4885130000004,51.00148700000006,903.7953587174729,951.3144153120011,8.344863292210535
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0.5517241379310345,16,0,0,0,167.93572000000052,77.26428000000011,958.7055617606146,1243.917972520001,10.723430797586216
Cn1c(-c2ccc(s2)-c2cc3ccc4cccc5ccc(c2)c3c45)c2c(c(-c3ccc(s3)-c3cc(F)c(cc3F)-c3ccc(s3)-c3n(C)c(=O)c4c(-c5ccc(s5)-c5cc6ccc7cccc8ccc(c5)c6c78)n(C)c(=O)c34)n(C)c2=O)c1=O,0.5967741935483871,8,0,0,0,163.89372000000054,62.5062800000001,940.5587253368948,1166.190046200001,9.404758437096783
Cc1ccc(s1)-c1ccc(s1)-c1cnc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2nc3c(-c4ccc(C)s4)c4sc(nc4c(-c4ccc(C)s4)c3s2)-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ncc(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0.6212121212121212,22,0,0,0,198.68530600000042,116.57469400000014,1061.1337359304466,1449.9160904040011,10.984212806090918
COc1c2cc(sc2c(OC)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,0.5192307692307693,16,0,0,0,147.71254800000045,71.8034520000001,857.9588386105595,1111.9323596320012,10.691657304153857
CN1c2ccc(C=C3C(=O)c4ccccc4C3=O)cc2Sc2cc(ccc12)-c1ccc(cc1)N(c1ccccc1)c1ccccc1,0.581081081081081,5,0,0,0,93.844204,35.70579600000001,556.1575432141145,612.1871491360008,8.27279931264866
COC(=O)C(=C\\c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc2c(cc3c4sc(cc4c(cc3c2s1)-c1ccc(C)cc1)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C(/C#N)C(=O)OC)cc1C)-c1ccc(C)cc1)\\C#N,0.4603174603174603,14,0,0,0,169.5004780000006,72.17552200000013,989.2374558698599,1186.1223259520013,9.413669253587312
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc(F)c(s2)-c2sc(cc2F)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,0.5531914893617021,14,0,0,0,136.54179000000022,64.53821000000009,809.2224796152482,1063.892386640001,11.318004113191499
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0.574468085106383,24,0,0,0,273.9387519999997,121.02124800000017,1518.5963159726548,2003.8823412880008,10.658948623872345
